timestamp,value
0,81.0
0,82.9
0,80.5
0,80.7
0,81.8
0,81.8
0,82.2
0,79.2
0,80.3
0,80.1
0,78.0
0,80.8
0,80.7
0,78.7
0,77.2
0,78.5
0,79.6
0,79.7
0,80.3
0,80.4
0,80.2
0,76.6
0,78.6
0,80.0
0,78.0
0,80.1
0,79.1
0,78.7
0,79.5
0,78.5
0,77.5
0,79.5
0,79.1
0,79.0
0,79.5
0,78.6
0,78.8
0,78.6
0,78.3
0,78.4
0,78.1
0,78.1
0,76.9
0,77.5
0,77.5
0,76.6
0,77.6
0,77.3
0,77.7
0,79.1
0,77.3
0,78.6
0,77.8
0,76.5
0,77.0
0,76.9
0,-99.0
0,-99.0
0,78.8
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,79.8
0,77.1
0,77.1
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,80.3
0,79.6
0,-99.0
0,78.7
0,79.5
0,79.4
0,79.2
0,-99.0
0,-99.0
0,-99.0
0,80.8
0,79.2
0,80.2
0,78.5
0,-99.0
0,-99.0
0,77.7
0,78.0
0,-99.0
0,-99.0
0,79.1
0,-99.0
0,80.4
0,79.0
0,78.9
0,79.8
0,77.2
0,77.6
0,79.1
0,79.8
0,80.1
0,78.4
0,79.9
0,78.0
0,79.1
0,79.5
0,79.9
0,78.9
0,79.7
0,79.8
0,79.6
0,80.3
0,80.3
0,81.2
0,80.6
0,78.4
0,79.5
0,80.0
0,78.7
0,79.0
0,-99.0
0,-99.0
0,-99.0
0,81.5
0,79.2
0,83.6
0,81.7
0,82.1
0,82.4
0,84.1
0,82.5
0,82.4
0,81.7
0,82.0
0,79.7
0,83.5
0,81.9
0,82.6
0,83.1
0,81.9
0,83.2
0,85.4
0,81.9
0,83.7
0,83.2
0,83.4
0,84.5
0,84.4
0,84.8
0,84.5
0,83.6
0,84.0
0,80.1
0,81.3
0,79.2
0,84.6
0,81.9
0,82.2
0,83.8
0,83.2
0,81.9
0,83.5
0,82.5
0,83.1
0,82.7
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,85.6
0,82.9
0,83.9
0,84.0
0,81.0
0,82.9
0,83.8
0,-99.0
0,82.6
0,81.8
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,-99.0
0,83.3
0,83.2
0,82.8
0,83.4
0,83.9
0,83.1
0,-99.0
0,83.3
0,82.8
0,83.2
0,81.3
0,81.1
0,81.3
0,80.3
0,81.1
0,81.3
0,81.2
0,81.9
0,80.9
0,81.6
0,80.4
0,82.5
0,82.9
0,81.3
0,83.2
0,81.4
0,83.6
0,84.3
0,82.3
0,81.8
0,83.6
0,82.4
0,82.6
0,82.5
0,82.5
0,82.4
0,81.7
0,82.7
0,82.9
0,82.8
0,83.7
0,83.2
0,84.5
0,84.7
0,83.6
0,83.4
0,84.2
0,83.7
0,82.9
0,84.3
0,84.8
0,84.2
0,83.4
0,84.3
0,81.9
0,74.0
0,85.9
0,81.3
0,82.5
0,84.3
0,85.8
0,85.5
0,84.6
0,85.2
0,85.2
0,84.8
0,85.6
0,85.6
0,85.9
0,85.6
0,85.8
0,83.9
0,86.0
0,86.9
0,81.6
0,84.9
0,86.0
0,83.7
0,84.7
0,85.7
0,87.1
0,85.9
0,85.3
0,83.7
0,85.1
0,84.8
0,85.0
0,85.6
0,83.7
0,85.6
0,85.8
0,85.6
0,85.9
0,85.5
0,85.7
0,86.1
0,86.0
0,85.0
0,86.2
0,85.4
0,85.6
0,85.8
0,85.7
0,79.0
0,81.5
0,85.1
0,85.7
0,85.4
0,85.8
0,86.0
0,85.4
0,83.5
0,85.4
0,84.8
0,84.5
0,85.5
0,83.0
0,81.8
0,79.3
0,79.3
0,83.7
0,84.6
0,84.6
0,84.4
0,85.8
0,81.9
0,82.4
0,84.5
0,85.5
0,80.7
0,83.0
0,83.2
0,85.1
0,81.2
0,84.0
0,85.9
0,83.7
0,84.7
0,86.4
0,81.0
0,83.3
0,85.3
0,84.6
0,80.6
0,85.2
0,80.5
0,80.2
0,80.7
0,86.0
0,84.3
0,80.0
0,80.6
0,83.0
0,84.9
0,83.2
0,83.0
0,81.3
0,79.9
0,84.0
0,79.5
0,79.3
0,78.0
0,78.1
0,82.0
0,79.9
0,80.6
0,78.3
0,81.3
0,79.7
0,80.9
0,83.6
0,82.3
0,75.5
0,76.4
0,80.1
0,81.0
0,80.6
0,81.9
0,81.3
0,80.5
0,79.8
0,82.1
0,80.9
0,78.4
0,77.1
0,78.1
0,79.2
0,81.0
0,78.6
0,77.8
0,78.5
0,77.3
0,78.6
0,79.9
0,80.5
0,78.3
0,79.3
0,77.4
0,-99.0
0,-99.0
0,78.8
0,80.1
0,80.9
0,80.5
0,81.2
0,80.9
0,79.7
0,80.3
0,80.3
0,80.5
0,79.1
0,78.8
0,78.5
0,77.6
0,78.2
0,78.5
0,77.9
0,77.6
0,78.0
0,77.7
0,77.3
0,76.2
0,76.8
0,76.7
0,76.9
0,77.1
0,76.4
0,76.4
0,76.5
0,76.5
0,75.9
0,75.9
0,75.5
0,75.3
0,76.3
0,76.6
0,76.4
0,76.5
0,77.0
0,76.4
0,77.0
0,77.2
0,77.0
0,75.6
0,76.3
0,77.5
0,76.7
0,78.2
0,77.9
0,78.1
0,78.5
0,78.7
0,78.5
0,78.9
0,78.8
0,78.8
0,78.7
0,78.5
0,77.3
0,78.0
0,78.6
0,77.8
0,77.3
0,79.1
0,79.1
0,78.2
0,78.1
0,79.0
0,78.6
0,78.8
0,78.0
0,77.4
0,77.8
0,78.9
0,79.0
0,79.6
0,80.0
0,78.8
0,78.4
0,79.2
0,79.4
0,80.0
0,79.0
0,79.6
0,76.5
0,79.1
0,79.8
0,80.0
0,80.0
0,78.7
0,80.9
0,80.3
0,80.9
0,81.4
0,80.2
0,80.9
0,81.2
0,81.0
0,81.0
0,79.1
0,81.1
0,81.7
0,81.5
0,82.9
0,82.0
0,83.3
0,83.0
0,81.7
0,81.3
0,81.7
0,81.0
0,82.7
0,81.6
